@relation _Users_rafaelfmello_Downloads_Sebastiao_MFD1

@attribute text string
@attribute @@class@@ {racismo1,semRacismo1}

@data

' mulh produt branc',racismo1
' racist preconceit séri',semRacismo1
' rac tod negr ser branc',racismo1
' rac',semRacismo1
' ser negr aparênc tod dia',racismo1
' muçulm favor',semRacismo1
' você negr',racismo1
' negr sã',semRacismo1
' fal moren fal negr você constrang',racismo1
' vez cont contr mach rac homofob',semRacismo1
' olh',racismo1
' branc fundament',semRacismo1
' sab você',racismo1
' mach geled mach',semRacismo1
' você faz cabel',racismo1
' rac car',semRacismo1
' rac cabeç',racismo1
' cidadan rac cor faz',semRacismo1
' você negr',racismo1
' faz rac contr cas geled rac',semRacismo1
' cot',racismo1
' racist rac',semRacismo1
' evolu',racismo1
' grup contr rac',semRacismo1
' cot sã',racismo1
' crime-machismo-também',semRacismo1
' você',racismo1
' tod infeliz só',semRacismo1
' você negr',racismo1
' mund rac',semRacismo1
' você ser negr',racismo1
' polí preconceit ódi rac homofob',semRacismo1
' você negr branc',racismo1
' rac burr',semRacismo1
' você cabel',racismo1
' lut contr rac',semRacismo1
' sed',racismo1
' geled rac',semRacismo1
' você',racismo1
' também tod tip rac contr rac',semRacismo1
' negr sã',racismo1
' contr rac ano rac',semRacismo1
' nom nom',racismo1
' cas trist rac rac',semRacismo1
' você branc',racismo1
' mach rac outr preconceit',semRacismo1
' você ser',racismo1
' preocup rac rac',semRacismo1
' tod cas fal',racismo1
' nasc outr cor pel orig',semRacismo1
' você ser',racismo1
' rac racist rac',semRacismo1
' sab você',racismo1
' car vez rac negr',semRacismo1
' ser difícil você trabalh',racismo1
' contr rac',semRacismo1
' sab negr',racismo1
' rac lut',semRacismo1
' nom neg moren nom',racismo1
' branc brasil lut paí rac',semRacismo1
' neg cabel dur',racismo1
' rac rac',semRacismo1
' tod pret',racismo1
' contr rac',semRacismo1
' você negr você moren',racismo1
' contr rac',semRacismo1
' você cot né',racismo1
' rac',semRacismo1
' estereótip',racismo1
' macac até rac',semRacismo1
' branc mulh negr diz',racismo1
' infeliz rac dia tod',semRacismo1
' você cabel',racismo1
' lut contr rac rac burr',semRacismo1
' você sab',racismo1
' lut rac',semRacismo1
' cor você',racismo1
' racist rac',semRacismo1
' preconceit negr tod',racismo1
' rac',semRacismo1
' mulh negr só',racismo1
' contr rac',semRacismo1
' víru afric',racismo1
' rac tod cidadã mund',semRacismo1
' você vermelh',racismo1
' uniã tim brasil rac',semRacismo1
' nasc pel moren',racismo1
' rac',semRacismo1
' cabel difer',racismo1
' rac tod tip preconceit ser',semRacismo1
' ach suspeit',racismo1
' tod contr rac',semRacismo1
' pret tent',racismo1
' sab jog rac jog mund',semRacismo1
' você faz cabel',racismo1
' rac cas',semRacismo1
' você',racismo1
' cas rac constrang',semRacismo1
' você negr traç sã pel escur',racismo1
' cas rac',semRacismo1
' cabel ahbrancodaumtemp',racismo1
' rac você sã',semRacismo1
' neg',racismo1
' rac cor rac negr branc',semRacismo1
' cabel dur cabel racist',racismo1
' rac lut contr',semRacismo1
